Time, Buy Exchange, Sell Exchange, Buy Price, Sell Price, Amount, Profit, Buy Exchange Ask List, Sell Exchange Bid List
"1/23/2016 4:46:27 AM","Bitstamp","Btce","391.03","394.889","0.05081534","0.10628596","{391.03, 10.66300000},{391.33, 7.66550000},{391.34, 4.12100000},{391.61, 7.71600000},{391.79, 0.62773000},{391.80, 18.11000000},{391.81, 18.11536983},{391.87, 8.60300000},{391.99, 50.00000000},{392.00, 0.50000000}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:46:27 AM","Kraken","Btce","392.86000","394.889","0.0507767","0.01105797","{392.86000, 8.971},{392.86822, 6.682},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:46:34 AM","Bitstamp","Btce","391.03","394.889","0.05081534","0.10628596","{391.03, 10.66300000},{391.33, 7.66550000},{391.34, 4.12100000},{391.61, 7.71600000},{391.79, 0.62773000},{391.80, 18.11000000},{391.81, 18.11536983},{391.87, 8.60300000},{391.99, 50.00000000},{392.00, 0.50000000}","{394.889, 3.97471448},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:46:34 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 6.682},{393.72000, 2.263},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.97471448},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:46:40 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 9.64400000},{391.02, 7.61190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.61, 7.71600000},{391.77, 0.80892000},{391.78, 50.00000000},{391.79, 0.27570000},{391.80, 18.11000000}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:46:40 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 6.682},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117},{396.96000, 0.400}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:46:47 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 9.64400000},{391.02, 7.61190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.61, 7.71600000},{391.77, 0.80892000},{391.78, 50.00000000},{391.79, 0.27570000},{391.80, 18.11000000}","{394.889, 3.97471448},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:46:47 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 6.682},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.97471448},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:46:53 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 9.64400000},{391.02, 7.61190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.61, 7.71600000},{391.77, 0.80892000},{391.78, 50.00000000},{391.79, 0.27570000},{391.80, 18.11000000}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:46:53 AM","Kraken","Btce","392.86000","394.889","0.0507767","0.01105797","{392.86000, 8.979},{392.86822, 6.682},{393.66000, 2.268},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:01 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 9.64400000},{391.02, 7.61190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.61, 7.71600000},{391.77, 0.80892000},{391.78, 50.00000000},{391.79, 0.27570000},{391.80, 18.11000000}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:01 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 6.682},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.97471448},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:08 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{391.01, 7.67000000},{391.02, 14.26190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.59, 50.00000000},{391.60, 0.26170000},{391.61, 7.71600000},{391.67, 0.01400000}","{394.889, 3.96106951},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:47:08 AM","Kraken","Btce","392.84000","394.889","0.05077928","0.01207474","{392.84000, 8.960},{392.86822, 6.682},{393.65000, 2.300},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834}","{394.889, 3.96106951},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:47:15 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{391.01, 7.67000000},{391.02, 14.26190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.59, 50.00000000},{391.60, 0.26170000},{391.61, 7.71600000},{391.67, 0.01400000}","{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:15 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 6.682},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:22 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{391.01, 7.67000000},{391.02, 14.26190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.59, 50.00000000},{391.60, 0.26170000},{391.61, 7.71600000},{391.67, 0.01400000}","{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:22 AM","Kraken","Btce","392.83000","394.889","0.05078057","0.01258313","{392.83000, 8.943},{392.86822, 6.682},{393.64000, 2.377},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834}","{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:28 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{391.01, 7.67000000},{391.02, 14.26190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.59, 50.00000000},{391.60, 0.26170000},{391.61, 7.71600000},{391.67, 0.01400000}","{394.889, 3.94920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:47:28 AM","Kraken","Btce","392.86000","394.889","0.0507767","0.01105797","{392.86000, 8.931},{392.86822, 6.682},{393.66000, 2.339},{393.66999, 0.500},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834}","{394.889, 3.94920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:47:34 AM","Bitstamp","Btce","390.82","394.962","0.05084264","0.12074896","{390.82, 8.35433264},{391.01, 7.67000000},{391.02, 14.26190000},{391.03, 10.09100000},{391.33, 10.23530000},{391.34, 4.12100000},{391.59, 50.00000000},{391.60, 0.26170000},{391.61, 7.71600000},{391.67, 0.01400000}","{394.962, 0.4},{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055}"
"1/23/2016 4:47:34 AM","Kraken","Btce","392.86822","394.962","0.05077563","0.01433549","{392.86822, 6.682},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117},{396.96000, 0.400}","{394.962, 0.4},{394.889, 3.94920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055}"
"1/23/2016 4:47:40 AM","Bitstamp","Btce","390.82","394.962","0.05084264","0.12074896","{390.82, 8.35433264},{390.96, 7.65480000},{391.03, 10.09100000},{391.31, 10.23530000},{391.32, 0.99000000},{391.33, 1.96000000},{391.34, 4.12100000},{391.60, 7.71000000},{391.61, 7.97770000},{391.67, 0.01400000}","{394.962, 0.4},{394.889, 3.94920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963}"
"1/23/2016 4:47:40 AM","Kraken","Btce","392.86000","394.962","0.0507767","0.01475725","{392.86000, 8.966},{392.86822, 5.682},{393.72000, 2.169},{393.73085, 1.542},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207}","{394.962, 0.4},{394.889, 3.94920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963}"
"1/23/2016 4:47:47 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{390.96, 7.65480000},{391.03, 10.09100000},{391.31, 10.23530000},{391.32, 0.99000000},{391.33, 1.96000000},{391.34, 4.12100000},{391.60, 7.71000000},{391.61, 7.97770000},{391.67, 0.01400000}","{394.889, 3.34920139},{394.712, 0.4},{394.502, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:47 AM","Kraken","Btce","392.86822","394.889","0.05077563","0.01063628","{392.86822, 5.682},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117},{396.96000, 0.400},{397.02492, 10.588}","{394.889, 3.34920139},{394.712, 0.4},{394.502, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:54 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{390.96, 7.65480000},{391.03, 10.09100000},{391.31, 10.23530000},{391.32, 0.99000000},{391.33, 1.96000000},{391.34, 4.12100000},{391.60, 7.71000000},{391.61, 7.97770000},{391.67, 0.01400000}","{394.889, 3.34920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:47:54 AM","Kraken","Btce","392.86000","394.889","0.0507767","0.01105797","{392.86000, 8.944},{392.86822, 5.682},{393.72000, 2.320},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117}","{394.889, 3.34920139},{394.639, 0.4},{394.429, 0.51},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928}"
"1/23/2016 4:48:00 AM","Bitstamp","Btce","390.82","394.889","0.05084264","0.11704487","{390.82, 8.35433264},{390.96, 7.65480000},{391.03, 10.09100000},{391.31, 10.23530000},{391.32, 0.99000000},{391.33, 1.96000000},{391.34, 4.12100000},{391.60, 7.71000000},{391.61, 7.97770000},{391.67, 0.01400000}","{394.889, 3.32920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
"1/23/2016 4:48:00 AM","Kraken","Btce","392.86812","394.889","0.05077565","0.01064416","{392.86812, 1.571},{392.86822, 5.682},{393.73095, 9.616},{394.00000, 13.233},{394.55028, 8.198},{394.56208, 3.467},{395.37538, 9.834},{396.00000, 0.207},{396.20593, 9.117},{396.96000, 0.400}","{394.889, 3.32920139},{394.292, 0.01109963},{394.1, 2.59282565},{394, 0.0100002},{393.991, 0.01109963},{393.825, 0.01110928},{393.778, 0.011055},{393.748, 0.01110928},{393.684, 0.01109963},{393.654, 0.01112448}"
